cycle,strategy_return,cumulative_return
1,0.0,0.0
2,-0.0,0.0
3,-0.0027867042538418435,-0.002786704253841865
4,-0.0005,-0.0032853109017149107
5,-0.00009532708104438472,-0.0033803248036607947
6,-0.0001698373332682637,-0.0035495880315787876
7,0.002440806491924279,-0.0011174453971655174
8,0.00038005108386805113,-0.0007378189996317674
9,-0.0005,-0.0012374500901318752
10,-0.0,-0.0012374500901318752
11,0.0,-0.0012374500901318752
12,-0.0013392244500842337,-0.002575017316799655
13,-0.0005,-0.0030737298081412456
14,0.0,-0.0030737298081412456
15,0.0,-0.0030737298081412456
16,-0.0012951898342998744,-0.004364938578840238
17,0.0013133847250720255,-0.0030572866974236668
18,-0.0005,-0.003555758054074931
19,-0.0015013460076575087,-0.005051765638573791
20,-0.0005,-0.005549239755754498
21,-0.00016899304537274662,-0.005717295018201396
22,-0.0003201118413381389,-0.0060355766857038695
23,0.0011080569260241092,-0.0049342075222290616
24,-0.0009645784057673921,-0.005894026497970883
25,-0.001533147418781721,-0.007418137505241007
26,-0.0029467352912506263,-0.010343013508909649
27,-0.001281162652333833,-0.011610925078623269
28,0.0003929964651090268,-0.011222491666026735
29,0.0008092980897544865,-0.010422275917339796
30,0.00045461105798756896,-0.009972402941233693
31,-0.0011092339530729145,-0.011070575166370444
32,-0.0019477720538631676,-0.012996784263304417
33,0.0007836510505724275,-0.012223318156374119
34,0.0006183340188333501,-0.01161254223097996
35,-0.0011425762317555427,-0.012741850247992126
36,0.003275261834907295,-0.009508321308908219
37,-0.003631432373037156,-0.01310522485613097
38,-0.005363834217811226,-0.018398764820426794
39,-0.003584959947362854,-0.02191776593282746
40,0.00143812565112396,-0.020511160783106774
41,-0.0006033071552558869,-0.021102093408299605
42,-0.0005,-0.02159154236159544
43,0.0028337258854331734,-0.01881900098865874
44,0.0005102843454407855,-0.01831831968481934
45,-0.0005,-0.01880916052497683
46,0.0,-0.01880916052497683
47,0.0005161634225186787,-0.01830270570312953
48,-0.0005,-0.018793554350277963
49,0.0032512613528634556,-0.015603395754356542
50,-0.0017438818571760641,-0.017320067132766237
